member,start,end,duration
131,0:10:58.991,0:11:15.141,0:00:16.149
133,0:11:04.363,0:11:07.099,0:00:02.736
134,0:11:08.634,0:11:29.188,0:00:20.553
135,0:11:26.986,0:11:27.019,0:00:00.033
138,0:11:35.161,0:11:50.076,0:00:14.914
141,0:11:43.536,0:11:45.705,0:00:02.168
142,0:11:45.004,0:11:48.641,0:00:03.636
144,0:11:43.436,0:11:52.812,0:00:09.376
145,0:11:43.669,0:11:44.403,0:00:00.734
146,0:11:46.539,0:11:48.140,0:00:01.601
147,0:11:48.007,0:11:54.113,0:00:06.106
148,0:11:48.340,0:12:03.689,0:00:15.348
149,0:11:49.208,0:12:04.690,0:00:15.482
150,0:11:51.177,0:11:53.045,0:00:01.868
151,0:11:54.447,0:11:55.548,0:00:01.101
152,0:12:09.829,0:12:15.968,0:00:06.139
153,0:12:16.402,0:12:17.036,0:00:00.633
154,0:12:18.437,0:12:21.707,0:00:03.269
156,0:12:20.406,0:12:22.875,0:00:02.469
157,0:12:22.641,0:12:46.599,0:00:23.957
158,0:12:23.876,0:12:48.501,0:00:24.624
159,0:12:53.906,0:13:08.788,0:00:14.881
160,0:13:09.555,0:13:11.257,0:00:01.701
161,0:13:19.665,0:13:35.881,0:00:16.216
162,0:13:37.149,0:13:38.984,0:00:01.835
163,0:13:40.019,0:13:46.826,0:00:06.806
164,0:13:47.526,0:13:48.394,0:00:00.867
178,0:14:49.822,0:14:55.261,0:00:05.438
179,0:14:53.225,0:15:17.716,0:00:24.491
181,0:15:01.901,0:15:02.301,0:00:00.400
182,0:15:02.668,0:15:03.202,0:00:00.533
184,0:15:02.701,0:15:07.072,0:00:04.371
185,0:15:03.435,0:15:08.574,0:00:05.138
186,0:15:18.284,0:15:20.219,0:00:01.935
187,0:16:14.974,0:16:34.326,0:00:19.352
188,0:16:35.427,0:16:37.563,0:00:02.135
190,0:16:44.036,0:16:58.050,0:00:14.014
192,0:16:47.639,0:16:50.609,0:00:02.969
194,0:16:51.910,0:16:59.785,0:00:07.874
195,0:16:58.450,0:17:00.886,0:00:02.435
196,0:17:02.388,0:17:04.823,0:00:02.435
197,0:17:10.729,0:17:28.414,0:00:17.684
201,0:17:38.223,0:17:57.309,0:00:19.085
206,0:17:44.129,0:17:46.231,0:00:02.102
207,0:17:50.836,0:18:09.388,0:00:18.551
210,0:18:10.055,0:18:12.124,0:00:02.068
213,0:18:26.038,0:18:43.922,0:00:17.884
214,0:18:30.843,0:18:41.954,0:00:11.111
215,0:18:42.421,0:18:43.622,0:00:01.201
